Order ID,Product,Category,Region,Sales,Date
aa1a92fb,yeah,Groceries,South,698.57,2024-01-09
dc0a0ec3,increase,Books,North,29.07,2024-06-21
85341c05,share,Clothing,South,200.63,2024-11-04
854cdede,that,Clothing,North,443.21,2024-07-08
a99ab927,whatever,Books,North,498.89,2024-06-28
10b54b1d,hotel,Electronics,West,791.87,2024-05-12
1179198b,size,Electronics,West,594.4,2024-07-06
f7c6fae8,follow,Furniture,West,395.57,2024-01-30
8d344819,green,Books,North,781.55,2024-10-13
7700c803,first,Clothing,South,747.41,2024-10-22
1d409d25,detail,Electronics,North,650.15,2024-08-14
747e7615,in,Groceries,South,753.89,2024-01-11
1db88416,these,Clothing,North,882.1,2024-10-03
63de6bb0,walk,Clothing,West,902.71,2024-11-06
05ac57c6,morning,Furniture,East,328.74,2024-03-28
b304b853,effort,Books,South,242.76,2024-04-18
05ad8ca0,certain,Clothing,West,197.49,2024-09-01
5d42a1a9,value,Clothing,East,858.58,2024-03-28
0c10f2bd,industry,Electronics,West,676.03,2024-05-29
da4e08c6,school,Electronics,North,195.01,2024-06-13
ec6bf4b6,wrong,Furniture,East,887.31,2024-04-15
f63c21fc,very,Furniture,South,838.87,2024-10-06
ac25177b,peace,Furniture,South,887.41,2024-08-02
4a7f35b4,happy,Electronics,East,507.58,2024-10-02
59c2a405,me,Clothing,South,941.04,2024-06-16
a81e396d,difficult,Books,East,651.23,2024-06-24
2fadecb0,cause,Electronics,West,245.97,2024-02-05
ba98e32e,remember,Furniture,North,148.93,2024-08-26
9ae15dde,fund,Books,West,15.01,2024-06-03
ec7f2883,yet,Furniture,North,118.41,2024-03-29
061c7653,son,Furniture,West,147.3,2024-10-15
bfc51757,option,Furniture,West,135.98,2024-04-21
f35559d6,record,Clothing,West,753.46,2024-06-10
ac88e9a9,onto,Groceries,West,666.68,2024-03-31
450f6404,her,Electronics,West,233.3,2024-03-30
038856bf,choice,Groceries,East,35.6,2024-06-09
c7c15e0b,everybody,Books,North,885.74,2024-02-06
5e7ac814,future,Clothing,West,446.11,2024-05-02
50ac0060,number,Electronics,West,717.84,2024-06-13
82bec4a2,certain,Clothing,West,819.56,2024-06-14
596d764c,doctor,Books,East,994.79,2024-05-26
c138b48f,whatever,Books,West,85,2024-07-30
2bd8742d,amount,Clothing,East,607.9,2024-10-09
74e2bb19,shoulder,Books,North,631.21,2024-06-12
7cd78ba6,nothing,Furniture,West,67.22,2024-09-25
899119dc,development,Furniture,South,975.25,2024-01-18
13fc86de,another,Groceries,North,310.64,2024-10-21
be0e2d7d,tough,Groceries,North,81.77,2024-05-14
9950e0eb,front,Furniture,South,632.65,2024-02-22
3dd1b1d6,opportunity,Electronics,South,663.82,2024-08-29
b3aa1345,similar,Electronics,West,414.04,2024-08-13
a11afae0,with,Books,South,750.45,2024-08-26
3a4ee710,oil,Clothing,North,667.28,2024-05-02
5801b5f9,think,Electronics,South,639.61,2024-07-18
674eeaff,since,Books,South,575.25,2024-05-14
53e4e34a,together,Clothing,South,37.78,2024-06-06
4fa16711,friend,Electronics,East,677.26,2024-03-24
6a174510,impact,Groceries,West,172.73,2024-05-04
